player,start,end,duration,score,level,kill,kill ratio,generate item,get item,get item ratio,item 1,item 2,item 3,item 4,item 5,item 6,item7,fire,hit,hit ratio,key,up,down,left,right,die 1,die 2,die 3,die 4,die 5,die 6,die 7,die 8,die 9
wyt,2018/8/13 15:58,2018/8/13 16:00,1:34,65,4,62,55.36%,3,2,66.67%,0,1,0,1,0,1,0,326,54,16.56%,461,31,42,64,64,2018/8/13 16:00,,,,,,,,
wyt,2018/8/14 0:24,2018/8/14 0:26,1:44,70,4,66,53.66%,3,3,100.00%,0,1,1,0,0,0,1,270,57,21.11%,388,20,29,70,83,2018/8/14 0:26,,,,,,,,
wyt,2018/8/14 0:26,2018/8/14 0:33,6:53,444,20,261,53.48%,32,28,87.50%,3,4,7,3,6,2,3,1571,240,15.28%,2247,190,236,414,430,2018/8/14 0:30,2018/8/14 0:31,2018/8/14 0:33,2018/8/14 0:33,,,,,
wyt,2018/8/14 0:33,2018/8/14 0:36,2:17,73,20,48,29.45%,48,17,35.42%,4,4,2,2,1,4,0,228,26,11.40%,465,79,64,118,145,2018/8/14 0:35,2018/8/14 0:35,2018/8/14 0:36,2018/8/14 0:36,2018/8/14 0:36,,,,
wyt,2018/8/14 17:59,2018/8/14 18:01,1:13,38,2,37,42.53%,18,8,44.44%,2,0,1,0,3,0,2,224,37,16.52%,360,24,22,60,58,2018/8/14 18:00,2018/8/14 18:00,2018/8/14 18:01,,,,,,
wyt,2018/8/16 22:01,2018/8/16 22:02,1:34,68,4,65,58.04%,21,4,19.05%,1,0,0,1,2,0,0,323,65,20.12%,477,36,32,58,52,2018/8/16 22:02,2018/8/16 22:02,,,,,,,
wyt,2018/8/16 22:13,2018/8/16 22:16,2:31,56,3,54,30.51%,18,10,55.56%,3,0,0,1,1,3,2,263,54,20.53%,522,82,13,137,127,2018/8/16 22:14,2018/8/16 22:15,2018/8/16 22:16,2018/8/16 22:16,,,,,
wyt,2018/8/16 22:16,2018/8/16 22:19,3:31,156,9,138,55.42%,46,29,63.04%,6,5,2,5,3,4,4,558,91,16.31%,853,76,79,124,132,2018/8/16 22:19,2018/8/16 22:19,2018/8/16 22:19,2018/8/16 22:19,2018/8/16 22:19,2018/8/16 22:19,2018/8/16 22:19,,
wyt,2018/8/16 22:51,2018/8/16 22:56,4:30,193,11,166,52.04%,55,24,43.64%,4,6,1,3,5,4,1,594,133,22.39%,972,30,46,133,153,2018/8/16 22:54,2018/8/16 22:54,2018/8/16 22:55,2018/8/16 22:55,2018/8/16 22:56,,,,
wyt,2018/8/16 23:41,2018/8/16 23:43,2:14,80,5,75,46.88%,7,5,71.43%,1,0,0,1,0,1,2,336,75,22.32%,500,16,26,112,105,2018/8/16 23:42,2018/8/16 23:43,,,,,,,
wyt,2018/8/16 23:43,2018/8/16 23:45,1:54,76,4,72,52.94%,7,6,85.71%,0,1,2,1,1,1,0,269,63,23.42%,413,2,8,102,108,2018/8/16 23:45,,,,,,,,
wyt,2018/8/16 23:46,2018/8/16 23:48,1:35,22,1,22,34.92%,2,1,50.00%,0,0,0,0,0,0,1,143,22,15.38%,205,2,10,43,50,2018/8/16 23:48,,,,,,,,
wyt,2018/8/16 23:48,2018/8/16 23:50,1:22,47,3,46,46.94%,4,3,75.00%,0,0,1,0,1,0,1,196,46,23.47%,277,2,5,58,58,2018/8/16 23:50,,,,,,,,
wyt,2018/8/16 23:50,2018/8/16 23:54,4:18,177,10,154,50.66%,15,12,80.00%,6,2,1,1,0,1,1,673,144,21.40%,1019,22,28,221,222,2018/8/16 23:51,2018/8/16 23:52,2018/8/16 23:53,2018/8/16 23:53,2018/8/16 23:53,2018/8/16 23:54,2018/8/16 23:54,,
wyt,2018/8/16 23:54,2018/8/16 23:57,2:28,55,3,53,30.11%,5,3,60.00%,1,0,0,0,0,0,2,329,53,16.11%,519,9,24,117,110,2018/8/16 23:56,2018/8/16 23:57,,,,,,,
wyt,2018/8/17 10:10,2018/8/17 10:13,2:39,91,5,85,44.97%,8,7,87.50%,1,0,1,2,2,0,1,439,85,19.36%,664,66,94,84,89,2018/8/17 10:12,2018/8/17 10:13,,,,,,,
wyt,2018/8/17 10:13,2018/8/17 10:16,2:51,124,7,112,55.17%,11,10,90.91%,0,2,3,0,2,2,1,499,100,20.04%,722,86,92,87,86,2018/8/17 10:16,,,,,,,,
wyt,2018/8/19 21:59,2018/8/19 22:03,3:06,133,8,120,56.34%,6,4,66.67%,1,1,0,0,2,0,0,574,113,19.69%,824,83,84,84,97,2018/8/19 22:01,2018/8/19 22:03,,,,,,,
wyt,2018/8/19 22:54,2018/8/19 22:59,5:39,234,13,195,48.87%,9,6,66.67%,1,1,0,0,3,0,1,1012,188,18.58%,1400,82,110,200,195,2018/8/19 22:56,2018/8/19 22:59,,,,,,,
